2026-07-27 22:01:34,530 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | ================================================================================
2026-07-27 22:01:34,531 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Starting run: eeg_neurosymbolic_split_random_lambda_1.0_seed_46
2026-07-27 22:01:34,531 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Split strategy: random
2026-07-27 22:01:34,531 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Lambda logic: 1.0000
2026-07-27 22:01:34,531 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Seed: 46
2026-07-27 22:01:34,531 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | ================================================================================
2026-07-27 22:01:34,533 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Random seed fixed to 46
2026-07-27 22:01:34,533 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Using device: cpu
2026-07-27 22:01:34,533 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Loading dataset
2026-07-27 22:01:36,280 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Dataset loaded and selected
2026-07-27 22:01:36,280 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Decision tree initialized
2026-07-27 22:01:36,335 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Dataloaders created
2026-07-27 22:01:36,335 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Number of selected rules: 2
2026-07-27 22:01:36,336 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Model initialized
2026-07-27 22:21:24,175 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_1.0_seed_46/checkpoints/model.pt
2026-07-27 22:21:24,175 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | History saved to runs/eeg_neurosymbolic_split_random_lambda_1.0_seed_46/outputs/history.npy
2026-07-27 22:21:24,176 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Test metrics: {'test_total_loss': 2.2742258310317993, 'test_normalized_logic_loss': 2.2742258310317993, 'test_balanced_accuracy': 0.75, 'test_f1_score': 0.9032258064516129}
2026-07-27 22:21:24,176 | INFO | eeg_neurosymbolic_split_random_lambda_1.0_seed_46 | Run finished successfully
