2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | ================================================================================
2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Starting run: eeg_neurosymbolic_split_random_lambda_0.0_seed_42
2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Split strategy: random
2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Lambda logic: 0.0000
2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Seed: 42
2026-07-25 14:31:26,527 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | ================================================================================
2026-07-25 14:31:26,529 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Random seed fixed to 42
2026-07-25 14:31:26,529 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Using device: cpu
2026-07-25 14:31:26,529 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Loading dataset
2026-07-25 14:31:29,062 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Dataset loaded and selected
2026-07-25 14:31:29,062 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Decision tree initialized
2026-07-25 14:31:29,156 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Dataloaders created
2026-07-25 14:31:29,156 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Number of selected rules: 2
2026-07-25 14:31:29,185 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Model initialized
2026-07-25 14:55:20,292 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_42/checkpoints/model.pt
2026-07-25 14:55:20,293 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.0_seed_42/outputs/history.npy
2026-07-25 14:55:20,293 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Test metrics: {'test_total_loss': 0.6910523061568921, 'test_normalized_logic_loss': 0.6856817465562087, 'test_balanced_accuracy': 0.5, 'test_f1_score': 0.653061224489796}
2026-07-25 14:55:20,293 | INFO | eeg_neurosymbolic_split_random_lambda_0.0_seed_42 | Run finished successfully
